"ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME","DEG_status","gene_label"
"7425",2343.29998024699,2.50727810517776,0.978068108937181,9.94935874747355e-09,0.00016063239697796,"VGF","VGF nerve growth factor inducible","Up_Responder","VGF"
"338094",66.1888100847435,4.04027694338994,0.788586450040092,3.61195028970467e-08,0.000291574687136409,"FAM151A","family with sequence similarity 151 member A","Up_Responder","FAM151A"
"3861",671.779025577887,-0.00427690871819179,0.0656287913144686,1.19122526104197e-07,0.000384646636790452,"KRT14","keratin 14","Not_significant","KRT14"
"5026",99.9220221163488,3.33631525090712,0.679465031553925,9.39661876961162e-08,0.000384646636790452,"P2RX5","purinergic receptor P2X 5","Up_Responder","P2RX5"
"79098",147.235684112202,-0.013682603680288,0.0675741415476218,1.11634761404802e-07,0.000384646636790452,"C1orf116","chromosome 1 open reading frame 116","Not_significant","C1orf116"
"2208",133.470501080786,4.08950660828913,0.871118178048797,3.26159106752699e-07,0.000877639796420387,"FCER2","Fc epsilon receptor II","Up_Responder","FCER2"
"6550",475.265311642203,-0.0173604260777207,0.0688712223052014,1.46789102284095e-06,0.00296238757047089,"SLC9A3","solute carrier family 9 member A3","Not_significant","SLC9A3"
"80303",1412.2526641318,-0.0145972013895068,0.0677846047698534,1.42161243188006e-06,0.00296238757047089,"EFHD1","EF-hand domain family member D1","Not_significant","EFHD1"
"5652",67.0136247630668,-0.00627494629489759,0.0658449076647562,1.8537150046741e-06,0.00332535875005148,"PRSS8","serine protease 8","Not_significant","PRSS8"
"390595",114.945996471073,2.4094020930001,0.584624673986133,2.92889351458551e-06,0.0047286985792983,"UBAP1L","ubiquitin associated protein 1 like","Up_Responder","UBAP1L"
"574028",89.9103949742734,3.53314613695152,0.850421374022932,3.27769823702992e-06,0.00481076709425891,"CLLU1","chronic lymphocytic leukemia up-regulated 1","Up_Responder","CLLU1"
"26051",1180.32941573186,1.8583612707983,0.468346996213475,4.88573686885462e-06,0.00657335181230482,"PPP1R16B","protein phosphatase 1 regulatory subunit 16B","Up_Responder","PPP1R16B"
"3872",182.779307710227,-0.00727099389056807,0.0660263462801398,5.50429039600171e-06,0.00676783168668947,"KRT17","keratin 17","Not_significant","KRT17"
