"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002250","adaptive immune response",450,0.567198506887976,3.17449101052237,4.27137294918768e-54,2.01779658119626e-50,1.58085760940462e-50,3190,"tags=49%, list=19%, signal=41%","2208/1191/10563/3495/973/151888/60468/930/3426/90865/23180/4851/3569/339390/923/6363/50852/939/3718/917/89790/255231/4049/3112/7128/974/117157/3635/114836/916/919/6775/27240/2185/1235/54941/54542/84447/5788/25865/54440/79465/1439/64167/28755/11126/3111/51744/1178/3566/3764/3702/2015/4791/940/3560/959/1378/10673/6494/1445/3716/10859/926/28671/4063/7294/50943/3570/28670/10148/387357/5294/3575/54900/715/23308/924/28677/22976/3659/915/2267/912/6774/4068/84766/30009/7462/725/911/115650/5971/27040/28673/5777/730/8631/5588/925/2033/170482/23476/7124/10892/10666/28662/969/259307/5293/84174/64421/81545/56253/220972/64332/6885/5133/4067/3507/7037/958/7855/3902/149041/3004/64005/6504/6693/80328/51311/114548/7454/814/602/7535/3594/27074/1380/608/28639/7292/2475/5579/9214/3118/8320/9466/219972/4734/64092/51561/3113/3824/30835/6850/10538/11221/6095/23765/7942/4976/93978/8078/6868/28680/79915/7133/4277/2215/3071/5909/5551/23376/604/2956/717/3592/10462/695/8809/6778/80149/201294/2534/3122/972/113/196/1379/3458/200558/89857/57823/440275/4208/22890/8915/84695/6375/5562/56941/6890/29126/714/246778/51752/3142/11024/7186/3119/6891/6830/64218/941/713/729230/5321/23495/2214/3133/3251"
"GO:0030098","lymphocyte differentiation",410,0.539190897103102,3.01348689222152,2.67256668609136e-42,6.3126025125478e-39,4.94565498331433e-39,2217,"tags=39%, list=13%, signal=35%","6689/115352/2841/5079/1236/931/22806/973/26279/23240/930/399/84433/9734/3569/5336/339390/6363/939/9840/3718/917/9760/974/29760/1840/3932/10320/3635/6932/114836/916/139818/6775/2185/5450/1235/54542/84447/5788/54440/3175/3111/3566/3561/3702/64919/940/7412/959/1378/10673/3716/10125/4063/2175/50943/3570/387357/3575/3394/23308/3574/29851/23228/3659/915/3559/912/6774/84766/30009/8651/3087/5971/1540/5777/55274/925/2033/914/23476/10892/1015/969/538/4775/6777/259307/5293/2322/64421/5771/1029/56253/7409/64332/3507/7855/4242/55619/1794/57492/3902/4066/29110/149041/864/6929/27086/28514/6504/6693/3676/114548/54106/3604/814/602/7535/9730/865/7048/3594/1380/7292/4602/2475/6603/8320/2177/64410/5295/51561/6850/10538/8289/11221/6095/6422/7494/2547/4976/6868/3601/9308/3071/604/9092/3592/8477/695/9452/8809/4297/8325/2736/6778/80149/26191"
"GO:1903131","mononuclear cell differentiation",500,0.500229932177651,2.84982094182173,3.41503231437564e-40,5.37753755103684e-37,4.21307144468237e-37,3253,"tags=43%, list=19%, signal=36%","6689/115352/2841/5079/1236/931/84456/22806/973/26279/23240/930/399/84433/9734/90865/3569/5336/339390/6363/939/9840/3718/917/9760/974/29760/1840/3932/10320/3635/6932/114836/916/139818/6775/2185/5450/1235/54542/84447/5788/54440/3175/3111/3566/3561/3702/64919/940/7412/959/1378/10673/3716/10859/10125/4063/2175/50943/3570/387357/3575/3394/23308/3574/29851/23228/3659/915/3559/912/6774/84766/30009/8651/3087/5971/1540/5777/55274/2908/925/2033/140685/914/23476/10892/1015/969/538/4775/3059/6777/259307/9444/5293/2322/64421/5771/1029/56253/7409/64332/4067/142/3507/7855/4242/55619/1794/55365/57492/3696/3902/4066/29110/28959/149041/864/6929/27086/28514/6504/6693/3676/114548/54106/3604/814/602/7535/9730/865/7048/3594/1380/7292/4602/2475/6603/8320/2177/64410/5295/51561/6850/10538/8289/11221/6095/6422/7494/2547/4976/6868/3601/9308/3071/1436/604/9092/3592/8477/695/9452/8809/23230/4297/8325/2736/6778/80149/26191/861/51341/5138/3122/944/972/3458/841/3149/22890/8837/55509/1960/84695/84101/150372/5196/54567/2146/714/5469/246778/3142/64115/1050/64218/139716/3955/941/8546/5468/729230/9474/6655/2323/7163/7480/23411/7805/2625"
"GO:0051249","regulation of lymphocyte activation",483,0.490994941595417,2.78638712292069,2.70516838747261e-37,3.19480386560515e-34,2.50299264482992e-34,3272,"tags=43%, list=19%, signal=36%","115352/1236/22806/151888/26279/23240/930/399/84433/6366/3569/3620/339390/23149/923/6363/939/9840/55423/3718/933/11151/3112/7128/9760/1840/115004/3932/3635/6932/916/921/374403/55024/27240/54542/83593/5788/54440/64926/952/11126/3111/1178/3566/8600/3561/940/7412/959/1378/10673/1445/10859/10125/951/2175/50943/10148/3575/54900/8740/23308/5880/160365/201633/3574/3485/29851/22976/3659/3559/2267/912/30009/8651/115650/283234/1540/27040/81704/5777/55274/5322/5588/2033/914/23476/10892/969/6777/259307/116449/5293/5771/6352/81545/1029/56253/7409/64332/5133/4067/7037/958/5530/57492/3902/149041/2319/864/6929/57162/6504/6693/114548/54106/3604/814/7535/865/7048/3594/7292/2475/6603/3118/9466/2177/64410/7293/64092/51561/3113/3824/30835/6850/10538/868/8289/11221/6422/7494/2547/4976/8078/79915/3601/7133/9308/3071/79626/23376/604/9092/27/3592/8477/695/2736/6778/80149/26191/861/2885/2534/3122/944/972/9750/196/9479/3458/200558/11326/3479/4208/3149/22890/1960/10451/8915/84695/150372/6375/5562/56941/3823/29126/246778/3142/64115/3119/6830/941/8546/729230/6655/1739/2323/23495/2214/3133/9473/7480/7805/2625/836"
"GO:0050863","regulation of T cell activation",367,0.517218721863252,2.86957123521903,8.54070981765393e-34,8.06926263571943e-31,6.32192330923605e-31,3272,"tags=46%, list=19%, signal=38%","1236/151888/26279/23240/399/84433/6366/3569/3620/339390/23149/923/6363/939/9840/55423/3718/11151/3112/9760/1840/115004/3932/6932/916/921/27240/54542/5788/54440/64926/11126/3111/1178/3566/8600/3561/940/7412/959/1378/10673/1445/10859/10125/951/2175/50943/10148/3575/54900/8740/23308/5880/160365/201633/3574/3485/29851/3659/3559/2267/912/30009/8651/115650/283234/1540/27040/81704/5777/55274/5322/5588/2033/914/23476/10892/969/6777/259307/5293/5771/6352/81545/1029/56253/7409/64332/5133/4067/7037/5530/57492/3902/149041/2319/864/57162/6504/6693/114548/3604/814/7535/865/7048/3594/7292/2475/6603/3118/2177/64410/51561/3113/30835/6850/10538/868/8289/11221/7494/4976/8078/7133/9308/3071/79626/23376/604/9092/27/3592/8477/2736/80149/26191/861/2885/2534/3122/944/972/9750/9479/3458/11326/3479/22890/1960/8915/84695/6375/5562/29126/246778/3142/64115/3119/941/8546/729230/6655/1739/3133/7480/7805/2625/836"
"GO:0050867","positive regulation of cell activation",366,0.504111920531415,2.7975677992253,1.65061824760744e-31,1.29958676694959e-28,1.01817083483996e-28,3253,"tags=43%, list=19%, signal=36%","2811/115352/1236/399/84433/90865/6366/3569/23149/923/6363/939/9840/55423/11151/3112/9760/3932/3635/916/921/5788/54440/64926/952/11126/3111/3566/8600/3561/940/7412/959/1378/10673/1445/10859/10125/50943/10148/3575/8740/23308/160365/3574/3485/29851/22976/3559/912/30009/8651/115650/283234/1540/81704/5777/55274/26228/5588/2033/914/23476/79987/7124/10892/10666/6777/259307/5293/6403/6352/81545/7409/64332/4067/7037/958/5530/57492/2319/864/6929/57162/6504/6693/2814/114548/54106/3603/3929/7535/865/7048/3594/7292/4602/2475/6603/3118/64410/7293/51561/3113/30835/6850/10333/8289/11221/7494/2547/4976/79915/3601/9308/3071/23376/604/9092/27/3592/8477/695/6195/2736/6778/4345/861/2885/2534/3122/972/3458/3479/4208/22890/1960/10451/8915/6375/5562/56941/29126/4317/3142/64115/1050/3119/941/8546/729230/5321/2323/2214/3133/5341/7480/2625"
"GO:0002429","immune response-activating cell surface receptor signaling pathway",306,0.532233207302108,2.86961750335759,4.82434943057259e-31,3.2557466728607e-28,2.5507387365253e-28,2752,"tags=42%, list=16%, signal=36%","2208/115352/1236/931/3495/973/930/84433/257144/23180/640/388325/5336/23149/50852/9840/917/933/7128/974/29760/259197/3932/3984/3635/916/919/55024/54542/971/5788/25865/952/28755/11126/79037/3702/53347/940/1378/5144/1445/926/7294/50943/387357/54900/23308/23228/915/4068/7462/65125/78989/1540/27040/4790/5777/9404/26228/8631/925/2033/10892/10666/5293/84174/5771/5583/7409/2867/64332/8517/1399/6885/4067/2822/3507/29110/149041/4843/27086/57162/64005/7187/3929/8525/7535/1380/9258/963/28639/5579/9214/5295/5142/3824/6850/10333/868/93978/4277/3071/2533/22954/118788/4792/695/80149/1997/26191/1240/2885/2633/10603/7430/3937/2534/5062/3458/89857/4208/1147/5058/10451/8915/9111/150372"
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",336,0.519023402280837,2.83643807833709,5.84987572881739e-31,3.45435161786667e-28,2.70633724506868e-28,2752,"tags=40%, list=16%, signal=34%","2208/115352/1236/931/3495/973/151888/930/84433/257144/23180/640/388325/5336/23149/50852/9840/917/933/7128/974/29760/259197/3932/3984/3635/916/919/55024/54542/971/5788/25865/952/28755/11126/79037/3702/53347/940/1378/5144/1445/10859/926/7294/50943/387357/54900/23308/23228/915/4068/7462/65125/78989/1540/27040/4790/5777/9404/26228/8631/5588/925/2033/10892/10666/5293/84174/5771/5583/7409/2867/64332/8517/1399/6885/4067/2822/3507/958/23547/29110/149041/4843/27086/57162/64005/7187/3929/8525/7535/1380/9258/963/28639/5579/9214/5295/5142/3824/6850/10333/868/93978/4277/2215/3071/2533/22954/118788/4792/695/80149/1997/26191/1240/2885/2633/10603/7430/3937/2534/5062/3458/89857/5601/4208/1147/5058/10451/8915/9111/150372"
"GO:1903037","regulation of leukocyte cell-cell adhesion",357,0.507677421064473,2.80309054284533,1.4802594129864e-30,7.76971718549748e-28,6.08724221761423e-28,3272,"tags=46%, list=19%, signal=38%","1236/151888/26279/23240/399/84433/6366/3569/3620/339390/23149/923/6363/939/9840/55423/3718/11151/3112/1840/3932/916/921/54542/5788/54440/64926/11126/3111/3566/8600/3561/940/7412/959/1378/10673/1445/10859/10125/951/50943/10148/3575/54900/8740/23308/160365/201633/3574/3485/29851/3659/3559/2267/912/30009/8651/115650/283234/65125/1540/9435/81704/5777/55274/5322/8631/2113/5588/2033/23476/7124/10892/969/6777/259307/5293/6403/5771/6352/5465/81545/1029/56253/7409/64332/5133/4067/7037/5530/57492/3902/2526/149041/2319/864/57162/6504/6693/3676/114548/7535/865/7048/3594/2650/7292/2475/6603/3118/64410/51561/3113/30835/6850/868/8289/11221/7494/4976/8078/9308/3071/79626/23376/604/9092/27/3592/8477/2736/80149/26191/861/2885/2534/3122/972/9750/3458/11326/3479/22890/1960/8915/84695/6375/375056/5562/29126/3142/64115/3119/941/5970/8546/729230/1739/3133/7480/7805/2625/836"
"GO:0050851","antigen receptor-mediated signaling pathway",189,0.617985987282469,3.14519855080897,1.72270612290194e-30,8.13806372458877e-28,6.3758260296034e-28,2324,"tags=48%, list=14%, signal=42%","115352/1236/931/3495/973/930/84433/257144/23180/640/5336/23149/50852/9840/917/933/974/29760/3932/3635/916/919/55024/54542/971/5788/25865/952/28755/11126/79037/3702/53347/940/5144/1445/926/7294/50943/387357/54900/23308/23228/915/4068/7462/65125/1540/27040/4790/5777/9404/26228/8631/925/10892/10666/5293/84174/5771/5583/64332/8517/1399/6885/4067/3507/149041/27086/8525/7535/963/28639/5579/9214/5142/6850/868/3071/2533/4792/695/80149/1997/26191/2885/2633/10603/7430/3937/2534"
