"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","Ribosome",168,-0.566369968247724,-2.64464689299692,4.29697059419128e-19,1.45237606083665e-16,1.07650421201845e-16,5278,"tags=70%, list=31%, signal=49%","6165/64981/51318/6164/51081/6136/56945/11224/51021/23107/51073/6235/6125/55037/64983/28957/54948/6161/64432/6147/28973/6233/51187/6152/6230/6182/64965/6167/6166/29093/6201/6142/6143/6144/6228/92259/9349/64960/6154/84545/54998/3921/6138/51650/6128/6205/6150/6202/6137/51023/6231/6210/6183/122704/6189/10399/4736/64949/6222/6187/65003/23521/6193/6203/6229/63931/64975/219927/6208/6217/6194/6168/10573/6209/6133/6146/6175/6170/11222/6234/51065/6141/51264/84311/9045/65993/6160/51121/6223/64976/64963/51253/118487/6176/116541/6159/6156/128308/51069/25873/6188/6224/55052/6132/51642/90480/28977/64928/64979/6158/28998/55168/65080/29088/6129/9553/78988/64968"
"hsa04060","Cytokine-cytokine receptor interaction",215,0.447456537208941,2.30542615128972,9.2795523354004e-14,1.56824434468267e-11,1.16238602938173e-11,3167,"tags=42%, list=19%, signal=34%","1236/10563/6364/4050/90865/50615/654/643/6366/3569/6369/1233/6363/939/4049/6373/1235/3455/1439/3566/8600/3561/3560/959/10673/3570/10148/3575/8740/3574/3559/3597/9235/115650/8718/7124/4283/8743/6352/130399/958/163702/3625/1232/8797/84957/3603/3604/7048/3594/3556/608/3627/7292/9466/10663/4982/7293/51561/23765/356/653/3601/2833/7133/3587/3577/1436/6362/3592/8809/1234/285613/353500/944/1237/9180/3458/8795/6374/6375/5196/2829/6846/3459/246778/7132/5008/729230/23495"
"hsa04658","Th1 and Th2 cell differentiation",84,0.583221905697681,2.59833495234587,8.24028305721638e-12,9.28405224446379e-10,6.8813591846228e-10,4532,"tags=65%, list=27%, signal=48%","4851/3718/917/3112/3932/916/919/6775/3111/3566/3561/3560/3716/915/3559/30009/27040/4790/5588/4775/6777/8517/5530/864/28514/7535/3594/3118/3113/4792/3592/6778/6772/3122/3458/5601/1147/54567/3459/3119/5970/2625/3717/3127/5534/9794/920/3109/5532/3115/3108/3117/4853/5600/5599"
"hsa04659","Th17 cell differentiation",99,0.563057069222187,2.55514750017661,1.64205615666821e-11,1.38753745238464e-09,1.02844569812377e-09,3965,"tags=60%, list=24%, signal=46%","50615/3569/3718/917/3112/3932/916/919/3111/3566/3561/3560/3716/50943/3570/10148/915/3559/6774/30009/27040/4790/5588/4775/6777/8517/5530/7535/7048/3594/3556/2475/3118/9466/51561/3113/6095/3091/4792/6778/6772/861/3122/196/3458/5601/1147/3459/246778/3119/5970/2625/3717/3572/3127/5534/920/3109/5532"
"hsa04650","Natural killer cell mediated cytotoxicity",97,0.551828430621239,2.50100538578954,2.63322491770203e-11,1.78006004436657e-09,1.31938427455386e-09,3965,"tags=59%, list=24%, signal=45%","5336/259197/3932/117157/919/2185/3455/3384/79465/51744/3683/3845/5880/4068/7462/27040/5777/962/7124/8743/5293/7409/5530/80328/8797/7535/5579/5295/3824/6850/356/4277/2215/5551/2885/3937/2534/3458/8795/5604/5058/10451/3823/3459/6655/2214/3133/836/7410/3383/53358/3689/3107/5534/3454/2207/5532"
"hsa04064","NF-kappa B signaling pathway",100,0.544082157503747,2.48155937045477,4.21116471259797e-11,2.37228945476352e-09,1.75834596771634e-09,3100,"tags=49%, list=18%, signal=40%","4050/84433/6366/5336/6363/4049/7128/29760/3932/8600/4791/7412/959/10673/330/8740/115650/5971/1540/27040/4790/23118/5588/7124/10892/9020/8517/6885/4067/142/958/7187/3929/7535/5579/283106/6850/4792/695/23586/1147/8837/7706/8915/29775/7188/7186/7132/5970"
"hsa04662","B cell receptor signaling pathway",81,0.576306869926903,2.54264987279271,1.42151818920926e-10,6.86390211361044e-09,5.08753878243315e-09,3286,"tags=51%, list=20%, signal=41%","973/930/84433/640/5336/933/974/29760/3635/55024/971/10859/3845/5880/27071/4790/5777/10892/4775/5293/7409/8517/4067/23547/5530/1380/5579/5295/6850/118788/4792/695/2885/1147/5604/10451/8915/11024/5970/6655/7410"
"hsa05340","Primary immunodeficiency",32,0.742738666375436,2.71312938355906,8.33705003719383e-10,3.52240364071439e-08,2.61081303796333e-08,1448,"tags=66%, list=9%, signal=60%","973/930/5993/3718/29760/3932/916/4261/5788/3561/959/926/3575/29851/915/115650/925/64421/8517/958/7535"
"hsa04640","Hematopoietic cell lineage",83,0.551924023305981,2.44737125865206,1.31349920728741e-09,4.50464737426507e-08,3.33885417338862e-08,1694,"tags=42%, list=10%, signal=38%","2208/2811/931/930/3569/917/933/3112/3672/916/921/952/3111/3566/1378/926/951/3570/3575/924/3574/915/3559/912/911/925/914/7124/2322/7037/2814/3676/1380/3118/3113"
"hsa05169","Epstein-Barr virus infection",184,0.42429413927969,2.14731115651211,1.33273590954588e-09,4.50464737426507e-08,3.33885417338862e-08,3930,"tags=41%, list=23%, signal=32%","2208/930/3569/5336/3718/917/3112/7128/29760/916/919/894/3455/25942/3111/4791/3683/3716/915/6774/5971/4790/23118/7124/11047/9020/5293/8517/6885/4067/958/29110/4193/864/7187/1027/55080/1380/10018/9641/3627/3118/4734/5295/3113/6850/1870/5718/4792/695/6772/23586/3122/841/5601/1147/3065/6890/7188/7186/3119/6891/5970/3133/836/3383/5707/3127/3107/896/3454/51135/5713/3109/5608"
