"ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME","present_in_evaluation","hl_estimate","hl_ci_lower","hl_ci_upper","reproducibility_p","median_responder","median_nonresponder","iqr_responder","iqr_nonresponder","mean_responder","mean_nonresponder","n_responder","n_nonresponder","reproducibility_padj","discovery_direction","reproducibility_direction","direction_consistent"
"7425",2343.29998024699,2.50727810517776,0.978068108937181,9.94935874747355e-09,0.00016063239697796,"VGF","VGF nerve growth factor inducible",TRUE,0.346882383220839,-2.23563798784889,3.89718627954626,0.738135138611688,4.4596458770227,3.99985103726197,5.19812830870505,2.27346080928332,5.27078689553892,4.73715588039088,14,12,0.885762166334026,"Responder","Responder",TRUE
"338094",66.1888100847435,4.04027694338994,0.788586450040092,3.61195028970467e-08,0.000291574687136409,"FAM151A","family with sequence similarity 151 member A",TRUE,0.118754850694799,-0.093876246663102,0.582557587758755,0.291366821340218,0.209346167460837,0.156243439987077,0.659473606016727,0.360345828926918,0.615750331108059,0.327086111516947,14,12,0.850630315632387,"Responder","Responder",TRUE
"5026",99.9220221163488,3.33631525090712,0.679465031553925,9.39661876961162e-08,0.000384646636790452,"P2RX5","purinergic receptor P2X 5",TRUE,-0.31917384747663,-0.963255962693972,0.187277594945384,0.226774441922786,0.472189055657612,0.876819492867283,0.476619927048343,1.10878191112706,0.968869970774807,1.04800898943672,14,12,0.850630315632387,"Responder","NonResponder",FALSE
"2208",133.470501080786,4.08950660828913,0.871118178048797,3.26159106752699e-07,0.000877639796420387,"FCER2","Fc epsilon receptor II",TRUE,0.024431923278388,-0.121139192711702,0.263507548207142,0.425315157816193,0.170022422678943,0.0975576690684911,0.609749986858651,0.414657188568538,0.780332747973424,0.264489476650925,14,12,0.850630315632387,"Responder","Responder",TRUE
"390595",114.945996471073,2.4094020930001,0.584624673986133,2.92889351458551e-06,0.0047286985792983,"UBAP1L","ubiquitin associated protein 1 like",TRUE,0.158905746762937,-0.43646836799031,2.50445931098526,0.487453290364035,0.80084877487226,0.702445965751834,3.11109738316507,1.07883222178687,1.89543844840996,1.25633382050847,14,12,0.877415922655263,"Responder","Responder",TRUE
"574028",89.9103949742734,3.53314613695152,0.850421374022932,3.27769823702992e-06,0.00481076709425891,"CLLU1","chronic lymphocytic leukemia up-regulated 1",TRUE,-0.0101044156999879,-0.0213459085958326,0.0217480489714555,0.347521674396435,0.00651745432981251,0.0196435494827761,0.0764797268548969,0.0134047487634093,0.0644115594456245,0.0781770043688616,14,12,0.850630315632387,"Responder","NonResponder",FALSE
"26051",1180.32941573186,1.8583612707983,0.468346996213475,4.88573686885462e-06,0.00657335181230482,"PPP1R16B","protein phosphatase 1 regulatory subunit 16B",TRUE,0.00777773402421722,-0.693205812285061,0.779679955404592,1,1.41363795021043,1.57994262076564,0.538130820299274,1.39221383833684,1.68842366304889,1.53197638161207,14,12,1,"Responder","Responder",TRUE
"54112",26.2214454139808,3.39582369135101,0.650712573911711,6.28785848871738e-06,0.00676783168668947,"GPR88","G protein-coupled receptor 88",TRUE,-0.00878801879196383,-0.0757211825639439,0.0694698513283236,0.737702869433409,0.0737028395809048,0.0937836897331025,0.103445786899488,0.0780697448919704,0.176932547328452,0.462275525566479,14,12,0.885762166334026,"Responder","NonResponder",FALSE
"651746",264.901706095952,1.84869436597807,0.472883076017455,6.13500854486857e-06,0.00676783168668947,"ANKRD33B","ankyrin repeat domain 33B",TRUE,-0.112161132103535,-0.370781639427814,0.133598261839595,0.315874479830489,0.258810913076359,0.421423563864173,0.224748600505209,0.381427802321349,0.506640791485972,0.524021681933061,14,12,0.850630315632387,"Responder","NonResponder",FALSE
"6689",396.277757442974,3.40311417959142,0.888126376215615,1.22991910465961e-05,0.0110316910804052,"SPIB","Spi-B transcription factor",TRUE,0.213462498407992,-0.166327462906007,0.563941735037716,0.368065506305485,0.545873730861589,0.26420215769045,0.546668354875082,0.596191638837752,0.939551124052074,0.538841800431382,14,12,0.850630315632387,"Responder","Responder",TRUE
"84765",497.000021097643,-1.32415874900476,0.405009900514411,2.39225856599638e-05,0.0183919116895293,"ZNF577","zinc finger protein 577",TRUE,-0.0189531747887539,-0.566632841002286,0.727502568372902,0.97948288484254,1.5694983653396,1.67160642328162,1.01781915924872,1.09533075359179,1.66268279399547,1.57091105967421,14,12,1,"NonResponder","NonResponder",TRUE
"1071",422.847428962372,2.27361704753736,0.639235626580462,2.66363464902643e-05,0.0190548654954756,"CETP","cholesteryl ester transfer protein",TRUE,0.234069740383655,-0.418992295476708,1.07818731261152,0.738135138611688,1.52658474703511,0.870128344610625,1.46135594867271,0.903013642052497,1.72451954902063,1.31963641801978,14,12,0.885762166334026,"Responder","Responder",TRUE
"2811",108.482535358949,2.24186214738453,0.630837378980069,2.73340452185287e-05,0.0190548654954756,"GP1BA","glycoprotein Ib platelet subunit alpha",TRUE,0.104602824281524,-0.0995695523653219,0.349801855141444,0.341331680500692,0.412452811496219,0.232124538593799,0.373275441161504,0.315679342266648,0.664464229438777,0.359485345106259,14,12,0.850630315632387,"Responder","Responder",TRUE
